Title,URL,Lyrics
Shape of You,https://genius.com/Ed-sheeran-shape-of-you-lyrics,"The club isn't the best place to find a lover So the bar is where I go Me and my friends at the table doing shots Drinking fast and then we talk slow And you come over and start up a conversation with just me And trust me I'll give it a chance now Take my hand, stop, put Van the Man on the jukebox And then we start to dance, and now I'm singing like  Girl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind me Say, boy, let's not talk too much Grab on my waist and put that body on me Come on now, follow my lead Come, come on now, follow my lead  I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body And last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Every day discovering something brand new I'm in love with the shape of you One week in we let the story begin We're going out on our first date You and me are thrifty, so go all you can eat Fill up your bag and I fill up a plate We talk for hours and hours about the sweet and the sour And how your family is doing okay Leave and get in a taxi, then kiss in the backseat Tell the driver make the radio play, and I'm singing like  Girl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind me Say, boy, let's not talk too much Grab on my waist and put that body on me Come on now, follow my lead Come, come on now, follow my lead  I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body And last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Every day discovering something brand new I'm in love with the shape of you Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on  I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I'm in love with your body Come on, be my baby, come on Come on, be my baby, come on I'm in love with your body Come on, be my baby, come on Come on, be my baby, come on I'm in love with your body Come on, be my baby, come on Come on, be my baby, come on I'm in love with your body Every day discovering something brand new I'm in love with the shape of you"
Perfect,https://genius.com/Ed-sheeran-perfect-lyrics,"I found a love for me Oh darling, just dive right in and follow my lead Well, I found a girl, beautiful and sweet Oh, I never knew you were the someone waiting for me 'Cause we were just kids when we fell in love Not knowing what it was I will not give you up this time But darling, just kiss me slow, your heart is all I own And in your eyes, you're holding mine  Baby, I'm dancing in the dark with you between my arms Barefoot on the grass, listening to our favourite song When you said you looked a mess, I whispered underneath my breath But you heard it, darling, you look perfect tonight  Well I found a woman, stronger than anyone I know She shares my dreams, I hope that someday I'll share her home I found a love, to carry more than just my secrets To carry love, to carry children of our own We are still kids, but we're so in love Fighting against all odds I know we'll be alright this time Darling, just hold my hand Be my girl, I'll be your man I see my future in your eyes Baby, I'm dancing in the dark, with you between my arms Barefoot on the grass, listening to our favorite song When I saw you in that dress, looking so beautiful I don't deserve this, darling, you look perfect tonight   Baby, I'm dancing in the dark, with you between my arms Barefoot on the grass, listening to our favorite song I have faith in what I see Now I know I have met an angel in person And she looks perfect I don't deserve this You look perfect tonight"
Castle on the Hill,https://genius.com/Ed-sheeran-castle-on-the-hill-lyrics,"When I was six years old I broke my leg I was running from my brother and his friends And tasted the sweet perfume of the mountain grass I rolled down I was younger then, take me back to when I  Found my heart and broke it here Made friends and lost them through the years And I've not seen the roaring fields in so long, I know I've grown But I can't wait to go home  I'm on my way Driving at 90 down those country lanes Singing to ""Tiny Dancer"" And I miss the way you make me feel, and it's real We watched the sunset over the castle on the hill  Fifteen years old and smoking hand-rolled cigarettes Running from the law through the backfields and getting drunk with my friends Had my first kiss on a Friday night, I don't reckon that I did it right But I was younger then, take me back to when  We found weekend jobs, when we got paid We'd buy cheap spirits and drink them straight Me and my friends have not thrown up in so long, oh how we've grown But I can't wait to go home I'm on my way Driving at 90 down those country lanes Singing to ""Tiny Dancer"" And I miss the way you make me feel, and it's real We watched the sunset over the castle on the hill Over the castle on the hill Over the castle on the hill  One friend left to sell clothes One works down by the coast One had two kids but lives alone One's brother overdosed One's already on his second wife One's just barely getting by But these people raised me And I can't wait to go home  And I'm on my way, I still remember These old country lanes When we did not know the answers And I miss the way you make me feel, it's real We watched the sunset over the castle on the hill Over the castle on the hill Over the castle on the hill"
Happier,https://genius.com/Ed-sheeran-happier-lyrics,"Walking down 29th and park I saw you in another's arm Only a month we've been apart You look happier Saw you walk inside a bar He said something to make you laugh I saw that both your smiles were twice as wide as ours Yeah, you look happier, you do  Ain't nobody hurt you like I hurt you But ain't nobody love you like I do Promise that I will not take it personal, baby If you're moving on with someone new  'Cause baby you look happier, you do My friends told me one day I'll feel it too And until then I'll smile to hide the truth But I know I was happier with you  Sat in the corner of the room Everything's reminding me of you Nursing an empty bottle and telling myself You're happier, aren't you? Oh, ain't nobody hurt you like I hurt you But ain't nobody need you like I do I know that there's others that deserve you But my darling, I am still in love with you  But I guess you look happier, you do My friends told me one day I’ll feel it too I could try to smile to hide the truth But I know I was happier with you  ‘Cause baby you look happier, you do I knew one day you’d fall for someone new But if he breaks your heart like lovers do Just know that I’ll be waiting here for you"
Supermarket Flowers,https://genius.com/Ed-sheeran-supermarket-flowers-lyrics,"I took the supermarket flowers from the windowsill I threw the day old tea from the cup Packed up the photo album Matthew had made Memories of a life that's been loved Took the get well soon cards and stuffed animals Poured the old ginger beer down the sink Dad always told me, ""Don't you cry when you're down"" But mum, there's a tear every time that I blink  Oh, I'm in pieces, it's tearing me up, but I know A heart that's broke is a heart that's been loved  So I'll sing Hallelujah You were an angel in the shape of my mum When I fell down you'd be there holding me up Spread your wings as you go When God takes you back He'll say, ""Hallelujah, you're home""  I fluffed the pillows, made the beds, stacked the chairs up Folded your nightgowns neatly in a case John says he'd drive then put his hand on my cheek And wiped a tear from the side of my face I hope that I see the world as you did 'cause I know A life with love is a life that's been lived  So I'll sing Hallelujah You were an angel in the shape of my mum When I fell down you'd be there holding me up Spread your wings as you go When God takes you back He'll say, ""Hallelujah, you're home""  Hallelujah You were an angel in the shape of my mum You got to see the person I have become Spread your wings and I know That when God took you back He said, ""Hallelujah, you're home"""
Thinking Out Loud,https://genius.com/Ed-sheeran-thinking-out-loud-lyrics,"When your legs don't work like they used to before And I can't sweep you off of your feet Will your mouth still remember the taste of my love? Will your eyes still smile from your cheeks? And darling, I will be loving you till we're seventy And baby, my heart could still fall as hard at twenty-three And I'm thinking 'bout how  People fall in love in mysterious ways Maybe just the touch of a hand Well me, I fall in love with you every single day I just wanna tell you I am  So honey, now, take me into your loving arms Kiss me under the light of a thousand stars Place your head on my beating heart, I'm thinking out loud And maybe we found love right where we are  When my hair's all but gone and my memory fades And the crowds don't remember my name When my hands don't play the strings the same way I know you will still love me the same 'Cause, honey, your soul could never grow old, it's evergreen And baby, your smile's forever in my mind and memory And I'm thinking 'bout how People fall in love in mysterious ways And maybe it's all part of a plan Well I'll just keep on making the same mistakes Hoping that you'll understand That, baby, now, take me into your loving arms Kiss me under the light of a thousand stars Place your head on my beating heart, I'm thinking out loud And maybe we found love right where we are So baby, now, take me into your loving arms Kiss me under the light of a thousand stars Oh darling, place your head on my beating heart, I'm thinking out loud That maybe we found love right where we are Oh baby, we found love right where we are And we found love right where we are"
Galway Girl,https://genius.com/Ed-sheeran-galway-girl-lyrics,"She played the fiddle in an Irish band But she fell in love with an English man Kissed her on the neck and then I took her by the hand Said, ""Baby, I just want to dance""  I met her on Grafton street right outside of the bar She shared a cigarette with me while her brother played the guitar She asked me what does it mean, the Gaelic ink on your arm? Said it was one of my friend's songs, do you want to drink on? She took Jamie as a chaser, Jack for the fun She got Arthur on the table with Johnny riding a shotgun Chatted some more, one more drink at the bar Then put Van on the jukebox, got up to dance  You know, she played the fiddle in an Irish band But she fell in love with an English man Kissed her on the neck and then I took her by the hand Said, ""Baby, I just want to dance"" With my pretty little Galway Girl You're my pretty little Galway Girl  You know she beat me at darts and then she beat me at pool And then she kissed me like there was nobody else in the room As last orders were called was when she stood on the stool After dancing the céili singing to trad tunes I never heard Carrickfergus ever sung so sweet A cappella in the bar using her feet for a beat Oh, I could have that voice playing on repeat for a week And in this packed out room swear she was singing to me You know, she played the fiddle in an Irish band But she fell in love with an English man Kissed her on the neck and then I took her by the hand Said, ""Baby, I just want to dance"" My pretty little Galway Girl My, my, my, my, my, my, my Galway Girl My, my, my, my, my, my, my Galway Girl My, my, my, my, my, my, my Galway Girl  And now we've outstayed our welcome and it's closing time I was holding her hand, her hand was holding mine Our coats both smell of smoke, whisky and wine As we fill up our lungs with the cold air of the night I walked her home then she took me inside To finish some Doritos and another bottle of wine I swear I'm gonna put you in a song that I write About a Galway Girl and a perfect night  She played the fiddle in an Irish band But she fell in love with an English man Kissed her on the neck and then I took her by the hand Said, ""Baby, I just want to dance"" My pretty little Galway Girl My, my, my, my, my, my, my Galway Girl My, my, my, my, my, my, my Galway Girl My, my, my, my, my, my, my Galway Girl"
Dive,https://genius.com/Ed-sheeran-dive-lyrics,"Oh, maybe I came on too strong Maybe I waited too long Maybe I played my cards wrong Oh, just a little bit wrong Baby I apologize for it  I could fall, or I could fly Here in your aeroplane And I could live, I could die Hanging on the words you say And I've been known to give my all And jumping in harder than Ten thousand rocks on the lake  So don't call me baby Unless you mean it And don't tell me you need me If you don't believe it So let me know the truth Before I dive right into you  You're a mystery I've travelled the world And there's no other girl like you No one, what's your history? (What's your history?) Do you have a tendency to lead some people on? 'Cause I heard you do, mmm I could fall, or I could fly Here in your aeroplane And I could live, I could die Hanging on the words you say And I've been known to give my all And lie awake, every day Don't know how much I can take  So don't call me baby Unless you mean it Don't tell me you need me If you don't believe it So let me know the truth Before I dive right into you   I could fall, or I could fly Here in your aeroplane And I could live, I could die Hanging on the words you say And I've been known to give my all Sitting back, looking at Every mess that I made So don't call me baby Unless you mean it Don't tell me you need me If you don't believe it Let me know the truth Before I dive right into you Before I dive right into you Before I dive right into you"
Photograph,https://genius.com/Ed-sheeran-photograph-lyrics,"Loving can hurt, loving can hurt sometimes But it's the only thing that I know When it gets hard, you know it can get hard sometimes It is the only thing that makes us feel alive  We keep this love in a photograph We made these memories for ourselves Where our eyes are never closing Hearts are never broken And time's forever frozen, still  So you can keep me Inside the pocket of your ripped jeans Holding me closer 'til our eyes meet You won't ever be alone, wait for me to come home  Loving can heal, loving can mend your soul And it's the only thing that I know, know I swear it will get easier, remember that with every piece of ya And it's the only thing we take with us when we die  We keep this love in a photograph We made these memories for ourselves Where our eyes are never closing Hearts were never broken And time's forever frozen, still So you can keep me Inside the pocket of your ripped jeans Holding me closer 'til our eyes meet You won't ever be alone And if you hurt me, well that's okay, baby Only words bleed inside these pages, you just hold me And I won't ever let you go Wait for me to come home  Wait for me to come home Wait for me to come home Wait for me to come home  Oh, you can fit me Inside the necklace you got when you were 16 Next to your heartbeat where I should be Keep it deep within your soul And if you hurt me, well that's okay, baby Only words bleed inside these pages You just hold me And I won't ever let you go  When I'm away, I will remember how you kissed me Under the lamppost back on Sixth street Hearing you whisper through the phone ""Wait for me to come home"""
Don’t,https://genius.com/Ed-sheeran-dont-lyrics,"I met this girl late last year She said, ""Don't you worry if I disappear"" I told her I'm not really looking for another mistake I called an old friend thinking that the trouble would wait But then I jumped right in a week later, returned I reckon she was only looking for a lover to burn But I gave her my time for two or three nights Then I put it on pause until the moment was right I went away for months until our paths crossed again She told me, ""I was never looking for a friend Maybe you could swing by my room around ten Baby, bring the lemon and a bottle of gin We'll be in between the sheets till the late AM"" Baby, if you wanted me then you should have just said, she's singing Don't (hhh) with my love That heart is so cold All over my home I don't wanna know that babe Don't (hhh) with my love I told her she knows Take aim and reload I don't wanna know that babe And for a couple weeks, I only wanna see her We drink away the days with a takeaway pizza Before, a text message was the only way to reach her Now she's staying at my place and loves the way I treat her Singing out Aretha, all over the track like a feature And never wants to sleep, I guess that I don't want to either But, me and her, we make money the same way Four cities, two planes, the same day And those shows have never been what it's about But maybe we'll go together and just figure it out I'd rather put on a film with you and sit on a couch But we should get on a plane or we'll be missing it now Wish I'd have written it down, the way that things played out When she was kissing him, how I was confused about Now she should figure it out, while I'm sat here singing Don't (hhh) with my love That heart is so cold All over my home I don't wanna know that babe Don't (hhh) with my love I told her she knows Take aim and reload I don't wanna know that babe (Knock, knock, knock) on my hotel door I don't even know if she knows what for She was crying on my shoulder, I already told ya Trust and respect is what we do this for I never intended to be next (Get lost) But you didn't need to take him to bed, that's all And I never saw him as a threat (Get lost) Until you disappeared with him to have sex, of course It's not like we were both on tour We were staying on the same (hhh) hotel floor And I wasn't looking for a promise or commitment But it was never just fun, and I thought you were different This is not the way you realized what you wanted It's a bit too much, too late, if I'm honest And all this time, God knows I'm singing Don't (hhh)  with my love That heart is so cold All over my home I don't wanna know that babe Don't (hhh) with my love I told her she knows Take aim and reload I don't wanna know that babe Don't (hhh) with my love That heart is so cold All over my home I don't wanna know that babe Don't fuck with my love I told her she knows Take aim and reload I don't wanna know that babe"
