Title,URL,Lyrics
Gin and Juice,https://genius.com/Snoop-dogg-gin-and-juice-lyrics," Ha-ha-ha, I'm serious, nigga One of y'all niggas got some bad motherfuckin' breath  Aye, baby, aye, baby,  aye, baby Get some bubblegum in this motherfucker or somethin' Aye, nigga, get somethin' to eat, dog Aye, nigga, study long, study wrong, nigga  With so much drama in the L-B-C It's kind of hard bein' Snoop D-O-double-G But I, somehow, some way Keep comin' up with funky-ass shit, like, every single day May I kick a little something for the G's And make a few ends as I breeze through? Two in the mornin' and the party's still jumpin' ‘Cause my momma ain't home I got bitches in the livin' room gettin' it on And they ain't leavin' till six in the mornin' So what you wanna do? Shit, I got a pocket full of rubbers and my homeboys do too So turn off the lights and close the doors But  we don't love them hoes, yeah So we gon' smoke an ounce to this G's up, hoes down, while you motherfuckers bounce to this Rollin' down the street, smokin' indo Sippin' on gin and juice, laid back With my mind on my money And my money on my mind Rollin' down the street, smokin' indo Sippin' on gin and juice, laid back With my mind on my money And my money on my mind  Now that I got me some Seagram's gin Everybody got they cups, but they ain't chipped in Now this type of shit happens all the time You got to get yours but, fool, I gotta get mine Everything is fine when you listening to the D-O-G I got the cultivating music that be captivating he Who listens to the words that I speak As I take me a drink to the middle of the street And get to mackin' to this bitch named Sadie  She used to be the homeboy's lady  80 degrees, when I tell that bitch please Raise up off these N-U-T's, ‘cause you gets none of these At ease, as I mob with the Dogg Pound Feel the breeze beyotch, I'm just… Rollin' down the street, smokin' indo Sippin' on gin and juice, laid back With my mind on my money And my money on my mind Rollin' down the street, smokin' indo Sippin' on gin and juice, laid back With my mind on my money And my money on my mind  Later on that day, my homie Dr. Dre Came through with a gang of Tanqueray And a fat ass J of some bubonic chronic That made me choke; shit, this ain't no joke I had to back up off of it and sit my cup down Tanqueray and chronic, yeah, I'm fucked up now But it ain't no stoppin', I'm still poppin' Dre got some bitches from the city of Compton To serve me; not with a cherry on top ‘Cause when I bust my nut I'm raising up off the cot Don't get upset, girl, that's just how it goes I don't love you, hoes, I'm out the door, and I'll be...  Rollin' down the street, smokin' indo Sippin' on gin and juice, laid back With my mind on my money And my money on my mind Rollin' down the street, smokin' indo Sippin' on gin and juice, laid back With my mind on my money And my money on my mind Rollin' down the street, smokin' indo Sippin' on gin and juice, beyotch With my mind on my money And my money on my mind Rollin' down the street, smokin' indo Sippin' on gin and juice, beyotch With my mind on my money And my money on my mind"
Drop It Like It’s Hot,https://genius.com/Snoop-dogg-drop-it-like-its-hot-lyrics,"Snoop Snoop  When the pimp's in the crib, ma Drop it like it's hot, drop it like it's hot, drop it like it's hot When the pigs try to get at you Park it like it's hot, park it like it's hot, park it like it's hot And if a nigga get a attitude Pop it like it's hot, pop it like it's hot, pop it like it's hot I got the Rollie on my arm, and I'm pourin' Chandon And I roll the best weed ‘cause I got it goin' on  I'm a nice dude, with some nice dreams See these ice cubes? See these Ice Creams? Eligible bachelor, million dollar boat That's whiter than what's spillin' down your throat The Phantom, exterior like fish eggs The interior like suicide-wrist red I can exercise you, this can be your Phys. Ed Cheat on your man, ma, that's how you get ahizzead Killer with the beat, I know killers in the street With the steel that'll make you feel like Chinchilla in the heat So don't try to run up on my ear Talkin' all that raspy shit, tryin' to ask me shit When my niggas fill your vest, they ain't gon' pass me shit You should think about it—take a second  Matter-fact, you should take four, B And think before you fuck with lil' Skateboard P When the pimp's in the crib, ma Drop it like it's hot, drop it like it's hot, drop it like it's hot When the pigs try to get at you Park it like it's hot, park it like it's hot, park it like it's hot And if a nigga get a attitude Pop it like it's hot, pop it like it's hot, pop it like it's hot I got the Rollie on my arm, and I'm pourin' Chandon And I roll the best weed ‘cause I got it goin' on  I'm a gangsta, but y'all knew that Da Big Boss Dogg, yeah, I had to do that I keep a blue flag hangin' out my backside But only on the left side—yeah, that's the Crip side Ain't no other way to play the game the way I play I cut so much, you thought I was a DJ ""Two, one, yep, three!"" S-N double O-P, D-O double G I can't fake it, just break it, and when I take it See, I specialize in makin' all the girls get naked So bring your friends, all of y'all come inside We got a world premiere right here, now get live! So don't change the dizzle, turn it up a little I got a livin' room full of fine dime brizzles Waitin' on the Pizzle, the Dizzle, and the Chizzle G's to the bizzack—now, ladies, here we gizzo! When the pimp's in the crib, ma Drop it like it's hot, drop it like it's hot, drop it like it's hot When the pigs try to get at you Park it like it's hot, park it like it's hot, park it like it's hot And if a nigga get a attitude Pop it like it's hot, pop it like it's hot, pop it like it's hot I got the Rolly on my arm, and I'm pourin' Chandon And I roll the best weed ‘cause I got it goin' on  I'm a bad boy, with a lot of hoes Drive my own cars, and wear my own clothes I hang out tough, I'm a real boss Big Snoop Dogg, yeah he's so sharp On the TV screen, and in the magazines If you play me close, you're on a red beam Oh you got a gun, so you wanna pop back? AK-47 now, nigga, stop that! Cement shoes, now I'm on the move Your family's cryin', now you on the news They can't find you, and now they miss you Must I remind you, I'm only here to twist you Pistol-whip you, dip you, then flip you Then dance to this mothafuckin' music we Crip to Subscribe, nigga, get your issue Baby, come close, let me see how you get loose! When the pimp's in the crib, ma Drop it like it's hot, drop it like it's hot, drop it like it's hot When the pigs try to get at you Park it like it's hot, park it like it's hot, park it like it's hot And if a nigga get a attitude Pop it like it's hot, pop it like it's hot, pop it like it's hot I got the Rolly on my arm, and I'm pourin' Chandon And I roll the best weed ‘cause I got it goin' on  Snoop Snoop"
Ain’t No Fun (If the Homies Can’t Have None),https://genius.com/Snoop-dogg-aint-no-fun-if-the-homies-cant-have-none-lyrics,"You're back now at the jack-off hour This is DJ EZ Dicc On WBALLZ Right now, something new by Snoop Doggy Dogg And this one goes out to the ladies from all the guys A big bow-wow-wow 'Cause we gonna make it a little misty here tonight This is DJ EZ Dicc On the station that slaps you across your fat ass with a fat dick When I met you last night, baby Before you opened up your gap I had respect for you, lady But now, I take it all back 'Cause you gave me all your pussy And you even licked my balls Leave your number on the cabinet And I promise, baby, I'll give you a call Next time I'm feelin' kinda horny You can come on over And I'll break you off And if you can't fuck that day, baby Just lay back and open your mouth 'Cause I have never met a girl That I love in the whole wide world Well, if Kurupt gave a fuck about a bitch, I'd always be broke I'd never have no motherfuckin' Indo to smoke I gets loc'ed and loony, bitch, you can't do me Do we look like BBD? You hoochie groupie I have no love for hoes That's something that I learned in Tha Pound So how the fuck am I supposed to pay this hoe just to lay this hoe? I know the pussy's mines, so I'mma fuck a couple mo' times And then I'm through with it, there's nothin' else to do with it Pass it to the homie, now you hit it 'Cause she ain't nothin' but a bitch to me And y'all know, that bitches ain't shit to me I gives a fuck, why don't y'all pay attention? Approach her with a different proposition I'm Kurupt, ho, you'll never be my only one, trick-ass bitch!  It ain't no fun if the homies can't have none It ain't no fun if the homies can't have none It ain't no fun if the homies can't have none It ain't no fun if the homies can't have none  Guess who's back in the motherfuckin' house? With a fat dick for your motherfuckin' mouth Hoes recognize, niggas do too 'Cause when bitches get scandalous and pull a voodoo What you gon' do? You really don't know So I'd advise you not to trust that ho Silly of me to fall in love with a bitch Knowin' damn well I'm too caught up with my grip Now, as the sun rotates and my game grows bigger How many bitches wanna fuck this nigga named Snoop? Doggy, I'm all the above I'm too swift on my toes to get caught up with you hoes But see, it ain't no fun If my homies can't get a taste of it 'Cause you know I don't love 'em Woo! Hey, now you know Inhale, exhale with my flow One for the money, two for the bitches Three to get ready, and four to hit the switches In my Chevy, '64—red, to be exact With bitches on my side and bitches on my back So back up, bitch, because I'm strugglin' Just get on your knees and then start jugglin' These motherfuckin' nuts in your mouth It's me, Warren G, the nigga with the clout  It ain't no fun if the homies can't have none It ain't no fun if the homies can't have none It ain't no fun if the homies can't have none It ain't no fun if the homies can't have none"
Who Am I (What’s My Name)?,https://genius.com/Snoop-dogg-who-am-i-whats-my-name-lyrics,"Eee-ya-ya-ya-ya-yah The Dogg Pound's in the house  Eee-ya-ya-ya-ya-yah The Dogg Pound's in the house Snoop Doggy, Dogg  Snoop Doggy, Dogg   From the depths of the sea, back to the block Snoop Doggy Dogg, funky as the, the, The D.O.C Went solo on that ass, but it's still the same Long Beach is the spot where I serve my 'caine Follow me, follow me, follow me, follow me, but don't lose your grip Nine-trizzay's the yizzear for me to fuck up shit So I ain't holdin nuttin' back And motherfucker, I got five on that twenty sack It's like that and as a matter of fact  'Cause I never hesitate to put a nigga on his back Yeah, so peep out the manuscript You see that it's a must we drop gangsta shit What's my motherfuckin' name?  Snoop Doggy Dogg  Snoop Doggy Dogg  Da-da-da-da-dah Do-do-do-do, doo-doo-doo-da-dahhh  It's the bow to the wow, creepin and crawlin Yiggy yes y'allin, Snoop Doggy Dogg in The motherfuckin' house like everyday Droppin' shit with my nigga Mr. Dr. Dre Like I said, niggas can't FUCK with this And niggas can't FUCK with that Shit that I drop 'cause ya know it don't stop Mr. One Eight Seven on a motherfuckin cop Tic toc never the Glock just some nuts and a cock Robbin' motherfuckers then I kill dem bloodclots Then I step through the fog and I creep through the smog 'Cause I'm Snoop Doggy  Doggy  Doggy   Snoop Doggy Dogg Snoop Doggy Dogg  Bow wow wow yippie-yo-yippie-yay Bow wow wow yippie-yo  Bow wow wow yippie-yo-yippie-yay Bow wow wow yippie yo yo yo yo   Now just throw your hands in the motherfuckin' air And wave the motherfuckers like ya just don't care  Yeah roll up the dank, and pour the drank And watch your step  'cause Doggy's on the gank My bank roll's on swoll My shit's on hit, legit, now I'm on parole, stroll With the Dogg Pound right behind me And up in yo bitch, is where ya might find me Layin that, playin that G Thang She want the nigga with the biggest nuts, and guess what? He is I, and I am him, slim with the tilted brim What's my motherfuckin' name? Snoop Doggy Dogg  Snoop Doggy Dogg Snoop Doggy Dogg  Snoop Doggy Dogg  Da-da-da-da-dah Do-do-do-do, doo-doo-doo-da-dahhh  Da-da-da-da-dah Do-do-do-do, doo-doo-doo-da-dahhh    Doggy Dogg, Doggy Dogg, Doggy Dogg (Bow wow wow yippie-yo-yippie yay Bow wow wow yippie-yo  Bow wow wow yippie-yo-yippie yay Bow wow wow yippie yo ) What is, his name?  Snoop Dogg, and the Dogg Pound   Oh, Snoopy Dogg, Snoopy Dogg, Snoopy Dogg  Yeah yeah  I know his name C'mon Snoopy, c'mon Snoopy  And the Dogg Pound Snoopy Dogg  Snoopy Dogg Snoopy Dogg  "
Murder Was the Case (Death After Visualizing Eternity),https://genius.com/Snoop-dogg-murder-was-the-case-death-after-visualizing-eternity-lyrics," Aye, aye,  JC 'Sup Enron Ain't that Snoop Dogg over there? That nigga with that blue coat on? Yeah Yeah, oh yeah, that's that nigga Nigga roll up on the side of him, man Roll your window down Man, hand me my motherfucking Glock man, give me another clip Cause I'm gonna smoke this fool Yeah roll the windows down Yeah, okay there you go Aye man, you Snoop Dogg? Snoop, Snoop Doggy Dogg? Man he's Snoop Dogg Man fuck that nigga  Nigga man Get that nigga man Man get up fool man, get up man, don't be trying to run man Get up on that fool man, I don't give a fuck What set you got now? Fuck you nigga Yeah nigga, what's up? Nigga Yeah mothafucka Yeah nigga, one less nigga Yeah nigga, you's a dead motherfucker now As I look up at the sky My mind starts tripping, a tear drops my eye My body temperature falls I'm shaking and they break in trying to save the Dogg Pumping on my chest and I'm screaming I stop breathing, damn I see demons Dear God, I wonder can you save me I can't die my boo boo's bout to have my baby I think it's too late for praying, hold up A voice spoke to me and it slowly started saying  How long will I live?  And will I be the G that I was?  my eyes are closed  Murder Murder was the case that they gave me Murder Murder was the case that they gave me I'm fresh up out my coma I got my Momma and my Daddy and my homies in my corner It's gonna take a miracle they say For me to walk again and talk again but anyway I get fronted some keys to get back on my feet And everything that nigga said came to reality Living like a baller loc Having money and blowing hella chronic smoke I bought my Momma a Benz, and bought my boo boo a Jag And now I'm rolling in a nine-trizzay El Do-Rag  Indeed, agreed proceed to smoke weed Never have a want, never have a need They say I'm greedy but I still want mo' Cuz my eyes wanna journey some mo', really doe  Now I lay me down to sleep I pray the Lord, my soul to keep If I should die, before I wake I pray the Lord, my soul to take  No more indo, gin and juice I'm on my way to Chino, rolling on the grey goose Shackled from head to toe Twenty-five with an izz-el, with nowhere to gizzo, I know Them niggas from the other side recognize my face Cause it's the O.G. D-O-double-G, L-B-C Mad dogging niggas cause I don't care Red jumpsuit with two braids in my hair Niggas stare as I enter the center They send me to a level three yard, that's where I stay Late night I hear toothbrushes scraping on the floor Niggas getting they shanks, just in case the war, pops off Cause you can't tell what's next My little homie Baby Boo took a pencil in his neck And he probably won't make it to see twenty-two I put that on my Momma; I'ma ride for you Baby Boo  Murder Murder was the case that they gave me Murder Murder was the case that they gave me"
Lodi Dodi,https://genius.com/Snoop-dogg-lodi-dodi-lyrics,"Yeah, gotta say what's up to my nigga Slick Rick For those who don't like it, eat a dick But for those who with me, sing that shit As it go a little something like this  Lodi Dodi, we likes to party We don't cause trouble, we don't bother nobody We're just some niggas who're on the mic And when we rock up on the mic, we rock the mic  For all my Doggs keepin' y'all in health Just to see you smile and enjoy yourself Cause it's cool when you cause the cozy condition in Which we create, cause that's our mission So listen close, to what we say Because this types of shit happens every day I woke up around 10 o'clock in the morning I gave myself a stretch, up, a morning yawn, and Went to the bathroom to wash up I threw some soap on my face and put my hands up on a cup And said ""Um, mirror mirror, on, the wall Who is the top dog of them all?"" There was a ruffle duffle, five minutes it lasted The mirror said, ""You are, you conceited bastard!"" Well that's true! That's why we never have no beef So I slipped off my khakis and my gold leaf Used Oil of Olay cause my skin gets pale And then I got the file for my fingernails I'm true to the style on my behalf I put some bubbles in the tub so I can take a bubble bath Clean, dry, was my body and hair I threw on my brand new doggy underwear For all the bitches I might take home I got the Johnson's Baby Powder and Cool Water cologne Now I'm fresh, dressed like a million bucks Threw on my white socks, with my all-blue Chucks Stepped out the house, stopped short, ""oh no"" I went back in, ""I forgot my Indo!"" Then I dilly  I ran through a  I bumped into this smoker named  from the  This was a girl playing hard to get So I said ""What's wrong?"" cause she looked upset She said um: It's all because of you, I'm feeling sad and blue You went away, now my life is filled with rainy days I love you so, how much you'll never know Cause you took your dope away from me  Damn, now what was I to do? She's crying over me and she was feelin blue I said, ""Um, don't cry, dry your eye And here comes your mother with those two little guys"" Her mean mother steps then says to me ""Hi!"" Decked Sally in the face and punched her in the eye Punched her in the belly and stepped on her feet Slammed the child on the hard concrete The bitch was strong, the kids was gone Something was wrong I said, ""What was goin on?"" I tried to break it up, I said, ""Stop it, just leave her!"" She said, ""If I can't smoke none, she can't either!"" She grabbed me closely by my socks And so I broke the hell out, and I grabbed my sack of rocks But um, they gave chase, they caught up quick They started crying on my shoes and grabbin' my dick And saying ""Why don't you give me a play So we can break it down the Long Beach way And if you give me that okay I'll give you all my love today Doggy, Doggy, Doggy, can't you see? Somehow your words just hypnotize me And I just love your jazzy ways Doggy Dogg, your love is here to stay"" And on and on and on she kept goin' The bitch been around before my mother's born! I said ""Cheer up!"" and I gave her a hit I said, ""You can't have me, I'm too young for you bitch!"" She said, ""No you're not!"" then she starts cryin' I says I'm 19, she says, ""Stop lyin!"" I says, ""I am, go ask my mother And with your wrinkled pussy, I can't be your lover""  Yeah, uh, tick-tock ya don’t stop And to the, uh, tick-tock n'ya don’t quit Yeah, n'ya tick-tock ya don’t stop And to the, uh, tick-tock n'ya don’t quit Biatch!"
Did Somebody Say,https://genius.com/Snoop-dogg-did-somebody-say-lyrics," Sick of this Get those Just Eat foods online for me  We gon' do this Doggy style Did somebody say Just Eat?  Me, get delivery like a G See hungry Dogg's gotta eat I get mine every day, every week Chicken wings to the crib I'm sittin' in Burger in the low-low Hope they kept the pickle in Wonton on a catamaran Oodles of noodles, thank you, my man Tacos to the chateau, please Did somebody say Just Eat? Private jet in the night sky My man hand glide by with my fried rice, right What could you not love 'Bout a slice on the side of the hot tub?  What you gonna do, boo? Chocolate fondue right on cue Even dipping in the sea I see food, seafood sees me J-U-S-T  E-A-T Did somebody say Just Eat?"
Vato,https://genius.com/Snoop-dogg-vato-lyrics,"Man, don't you know that I'm loco? Mhm, hm  I was chillin'  right around my way  21st, east side of the Beach This motherfucker ran up on me Talkin' shit with his homies like he was a straight G Askin' where I'm from while he runnin' up Gangbang my set on e'ry one of 'em  Some things, sons, they just won't change Fools don't respect nuttin' but the gangbang  What's seen is what's saw, Dogg is the law I have you niggas runnin' like a marathon Lil' G's tryna creep on the East with it Talkin' 'bout they gon' get my chain and they gon' leave with it  But they don't know once they get close It's tic-tac-toe, three motherfuckers laid on the floor  Yeah, this happened yesterday On the West they spray, I heard a ese say, he said  Vato, you won't believe what I saw I saw this pack of guys and they act real hard  They twist their fingers, say, ""You know who we are"" He said, ""I don't give a fuck, I'm Snoop Doggy Dogg""  They keep talkin' and it went too far So Snoopy, he went straight to the trunk of his car  He got his gun and they start runnin' hard He started firing and then he just charged  Run nigga, run nigga  Duck nigga, duck nigga  Run, motherfucker, run  Run, motherfucker, run  Run nigga, run nigga  Duck nigga, duck nigga  Run, motherfucker, run  Run, motherfucker, run  I didn't mean to hit what I hit Now there's three motherfuckers dead and I ain't seen shit But these niggas'll scream for plea But for a G like me, it's just a case, really, you could see I crack the MAC back and pop off rollin' And smack ya neck back, ya drop off, fallin' I haven't seen my mama in a week And she ain't even ran her mouth about me Fuck that, I ain't give a fuck about the law Niggas say they wanna brawl, you would think that they were broads Believin' all the things that you never saw In it, y'all, been a Dogg, smoke you like a Menthol You think you know? But this can't go You think you'll blow on my dope? What the fuck? No See these niggas proceed with speed So feel the need to bleed, all you hear my enemies goin' Vato, you won't believe what I saw I saw this pack of guys and they act real hard  They twist their fingers, say, ""You know who we are"" He said, ""I don't give a fuck, I'm Snoop Doggy Dogg""  They keep talkin' and it went too far So Snoopy, he went straight to the trunk of his car  He got his gun and they start runnin' hard He started firing and then he just charged   Run nigga, run nigga  Duck nigga, duck nigga  Run, motherfucker, run  Run, motherfucker, run  Run nigga, run nigga  Duck nigga, duck nigga  Run, motherfucker, run  Run, motherfucker, run  I wouldn't be the nigga that I am If I didn't pop niggas in they mouth, goddamn And Snoop'll keep one foot on the streets And leave 'em covered in sheets, run with them niggas with the heat  You never seen a thug like this You never seen a dub like me And I ain't weak for wanting peace In fact, I could be ""Beast of the East"", motherfucker I never hesitate to blaze  A nigga really tryna change his ways We gotta move my team, 'cause my peoples Is screamin' that we need more for fun or it's illegal Ba-ba-bang on a song, make it feel like a drive-by  It's a shame, but somebody gotta die  They see it happen state-to-state But when I'm mobbin' L.A., all I hear the eses say, they go Vato, you won't believe what I saw I saw this pack of guys and they act real hard  They twist their fingers, say, ""You know who we are"" He said, ""I don't give a fuck, I'm Snoop Doggy Dogg""  They keep talkin' and it went too far So Snoopy, he went straight to the trunk of his car  He got his gun and they start runnin' hard He started firing and then he just charged   Run nigga, run nigga  Duck nigga, duck nigga  Run, motherfucker, run  Run, motherfucker, run  Run nigga, run nigga  Duck nigga, duck nigga  Run, motherfucker, run  Run, motherfucker, run Snoop Dogg, him bust gunshots Skateboard P, they say him bust gunshots DPG, them bust gunshots BBC, you know them bust gunshots, come again, now Snoop Dogg, him bust gunshots Skateboard P, you know him bust gunshots, come again, now BBC, them bust gunshots DPGC, you know them bust gunshots, come again, now I'm tired of hearin' all that bullshit When you gon' play some of that good shit? Damn I mean, give me some like a—"
Beautiful,https://genius.com/Snoop-dogg-beautiful-lyrics,"Oh, oh, oh, oh Yeah, yeah, yeah, yeah  Oh, oh, oh, oh Yeah, yeah, yeah, yeah   Beautiful, I just want you to know You're my favorite girl  Beautiful, I just want you to know You're my favorite girl   I know you gon' lose it, this new Snoop shit Come on, baby boo, you gots to get into it Don't fool with the player with the cool whip Yeah, yeah, you know I'm always on that cool shit Walk to it, do it how you do it Have a glass, let me put you in the mood, and Little cutie, looking like a student Long hair with your big fat booty Back in the days, you was a girl I went to school with Had to tell your moms and sister to cool it The girl wanna do it, I just might do it Hit her up with some pimp-pimp fluid Mommy, don't worry, I won't abuse it Hurry up and finish so we can watch Clueless I laugh at these niggas when they ask, ""Who do this?"" But everybody know, ooh, girl, that you is Beautiful, I just want you to know You're my favorite girl  Beautiful, I just want you to know You're my favorite girl   When I see my baby boo, shit, I get foolish Smack a nigga that tries to pursue it Homeboy, she taken, just move it I asked you nicely, don't make the Dogg lose it We just blow dro and keep the flow movin' In a '64, me and baby boo cruisin' Body rag interior blue, and Have them hydraulics squeakin' when we screwin' Now she's yellin', hollerin' out ""Snoop!"" and Hootin', hollerin'; hollerin', hootin' Black and beautiful, you the one I'm choosin' Hair long, thin, black and curly like you're Cuban Keep groovin', that's what we doin' And we gon' be together until your moms move in   Beautiful, I just want you to know You're my favorite girl  Beautiful, I just want you to know You're my favorite girl  See, I just want you To know that you are really special  Oh my, oh my, oh my, oh my See, I just want you To know that you are really special  Oh my, oh my, oh my, oh my   Snoop Dogg Clothing, that's what I'm groomed in You got my pictures on the wall in your room, and Girls be complaining you keep me boomin' But girls like that wanna listen to Pat Boone  You's a college girl, but that don't stop you from doin' Come and see the Dogg in a hood near you, and You don't ask why I roll with a crew, and Twist up my fingers, and wear dark blue, and  On the Eastside, that's the crew I choose Nothing I do is new to you I smack up the world if they rude to you 'Cause baby girl, you're so beautiful Beautiful, I just want you to know You're my favorite girl Beautiful, I just want you to know You're my favorite girl  See, I just want you To know that you are really special  Oh my, oh my, oh my, oh my See, I just want you To know that you are really special  Oh my, oh my, oh my, oh my See, I just want you To know that you are really special  Oh my, oh my, oh my, oh my I just want you To know that you are really special  Oh my, oh my, oh my, oh my  Ehh... oh yeah, there's something about you... Oh-hooo! Ehh... oh yeah, there's something about you... Oh-hooo! Ehh... oh yeah, there's something about you... Oh-hooo!"
Tha Shiznit,https://genius.com/Snoop-dogg-tha-shiznit-lyrics,"Poppin', stoppin', hoppin' like a rabbit When I take the Nina Ross, ya know I gots to have it I lay back in the cut, retain myself Think about the shit, and I'm thinkin' wealth How can I makes my grip And how should I make that nigga straight slip Set trip, gotta get him for his grip As I dip around the corner, now I'm on another Mission, wishin', upon a star Snoop Doggy Dogg with the caviar In the back of the limo, no demo, this is the real Breakin' niggas down like Evander Holyfield, chill 'Til the next episode I make money, and I really don't love hoes Tell you the truth, I swoop in the Coupe I used to sell loot, I used to shoot hoops But now I make hits every single day With that nigga, the diggy Dr. Dre So lay back in the cut motherfucker 'fore you get shot It's 1-8-7 on a motherfuckin' cop  Boy it's gettin' hot, yes indeed it is Snoop Dogg is on the mic, I'm 'bout as crazy as Biz Markie, spark the chronic bud real quick And let me get into some fly gangsta shit Yeah, I lay back, stay back in the cut Niggas try to play the D-O-G like a mutt I got a little message, don't try to see Snoop I'm finna fuck a bitch, what's her name? It's Luke You tried to see me on the TV, you'se a B.G D-O-double-G, yes I'm a O.G You can't see my homie Dr. Dre So what the fuck a nigga like you gotta say Gotta take a trip to the MIA And serve your ass with a motherfuckin' AK You can't see the D-O-double-G, 'cause that be me I'm servin' 'em, swervin' in the Coupe The Lexus flexes from Long Beach to Texas Sexist hoes, they wanna get with this 'Cause Snoop Dogg is the shit, biatch! Ahhhh, I'm somewhat brain boggled So I look to the microphone and slowly start to wobble Grab it, habit, stick it to the plug It's Snoop Doggy, I got a got a fat dub Sack of the chronic in my back pocket loc Need myself a lighter so I can take a smoke I toke everyday, I loc everyday With the P-O-U-N-D and my nigga Dr. Dre Lay back in the cut like I told your ass Gimme the microphone and let me hit you with a blast I got a little cousin by the name of Daz And bitches who fuck him gimme the ass 'Cause they know about the shit that we be goin' through And they know about the shit that I be puttin' up And they be knowin' bout the shit I do when I'm on the mic 'Cause Snoop Dogg is Trump tight like a virgin, the surgeon Is Dr. Drizzay, so lizzay, and plizzay With D-O-double-Gizzay the fly human being seein' No, I'm not European bein' all I can When I put the motherfuckin' mic in my hand, and You don't understand what I'm kickin' 'Cause Snoop is on the mic and I gets wicked, follow me Listen to me, 'cause I do you like you wanna be done Snoop Doggy Dogg on this three two one, umm Dum, diddy-dum here I come With the gat, and the guitar will strum, I'm Not that lunatic nigga who you thought I was When I caught you slippin', I'ma catch you then I'll peel your cap Snap back, relax Ya bet' not be slippin' with them D's on that '83 Cadillac So we gon' smoke an ounce to this G'z up, hoes down while you motherfuckers bounce to this"
